spatial_resolution [arcsec],integration_time [s],velocity_resolution [Km/s],J2000 coordinates,frequency_resolution [MHz]
13.008841981611337,151.2,90.52858290691503,J2000 21h22m04.26s +01d54m07.1s,31.25
11.53706939074801,1248.304,0.7385371018465845,J2000 05h46m23.08800001s -52d05m23.86173854s,3.904
1.8821698996269765,604.8,90.52858123839744,J2000 22h41m16.69999999s -54d01m07.00000008s,31.25
11.53706939074801,1248.304,0.7385371018465845,J2000 05h46m23.08800001s -52d05m23.86173854s,3.904
13.02759675659552,151.2,90.52858290691503,J2000 21h20m44.83s +01d58m52.3s,31.25
9.42461465647296,2963.52,62.04856090232676,J2000 17h48m08.261325s -59d12m48.806s,31.25
9.42461465647296,2963.52,62.04856090232676,J2000 17h48m08.261325s -59d12m48.806s,31.25
1.5740495928795692,918.32,3.029566821477172,J2000 14h18m33.55991495s -05d09m11.63878319s,3.904
1.5740495928795692,918.32,3.029566821477172,J2000 14h18m33.55991495s -05d09m11.63878319s,3.904
1.5740495928795692,918.32,3.029566821477172,J2000 14h18m33.55991495s -05d09m11.63878319s,3.904
1.5740495928795692,918.32,3.029566821477172,J2000 14h18m33.55991495s -05d09m11.63878319s,3.904
9.111821921050783,2570.4,2.4404097672770257,J2000 01h25m30.77999999s -30d25m11.60000003s,1.1280000000000001
9.111821921050783,2570.4,2.4404097672770257,J2000 01h25m30.77999999s -30d25m11.60000003s,1.1280000000000001
9.42461465647296,2963.52,62.04856090232676,J2000 17h48m08.261325s -59d12m48.806s,31.25
9.42461465647296,2963.52,62.04856090232676,J2000 17h48m08.261325s -59d12m48.806s,31.25
1.687284042781407,3024.0,0.4374028521377036,J2000 18h17m29.947s -04d39m39.55s,0.14100000000000001
9.111821921050783,2570.4,2.4404097672770257,J2000 01h25m30.77999999s -30d25m11.60000003s,1.1280000000000001
9.111821921050783,2570.4,2.4404097672770257,J2000 01h25m30.77999999s -30d25m11.60000003s,1.1280000000000001
3.08127410067806,36.288,1.0043307142663873,J2000 16h40m34.17600001s -46d02m20.40000002s,0.294
3.08127410067806,36.288,1.0043307142663873,J2000 16h40m34.17600001s -46d02m20.40000002s,0.294
3.08127410067806,36.288,1.0043307142663873,J2000 16h40m34.17600001s -46d02m20.40000002s,0.294
3.08442230511321,36.288,1.0043307142663873,J2000 16h40m35.28000001s -46d31m32.88000002s,0.294
3.277709720097422,36.288,1.0043474041072444,J2000 16h44m19.82400001s -47d35m58.5600001s,0.294
3.277709720097422,36.288,1.0043474041072444,J2000 16h44m19.82400001s -47d35m58.5600001s,0.294
3.277709720097422,36.288,1.0043474041072444,J2000 16h44m19.82400001s -47d35m58.5600001s,0.294
3.277709720097422,36.288,1.0043474041072444,J2000 16h44m19.82400001s -47d35m58.5600001s,0.294
3.255933869057744,36.288,1.0043474041072444,J2000 16h40m44.16000001s -47d36m01.44000008s,0.294
3.255933869057744,36.288,1.0043474041072444,J2000 16h40m44.16000001s -47d36m01.44000008s,0.294
3.255933869057744,36.288,1.0043474041072444,J2000 16h40m44.16000001s -47d36m01.44000008s,0.294
3.255933869057744,36.288,1.0043474041072444,J2000 16h40m44.16000001s -47d36m01.44000008s,0.294
3.2538325741967435,36.288,1.0043474041072444,J2000 16h40m42.40800001s -47d35m59.64000008s,0.294
