name,x,y,z
S301,4868.17532337257,5781.18156695978,-19.0969875881306
S302,5196.73307431357,7567.58324876129,-185.706655415243
S303,5408.02887217023,9132.72430171133,-253.393305818145
S304,1691.0202928436,-3392.21538816569,-103.679928261722
S305,2393.11758090319,-4995.84622961199,-252.929615947408
S306,3339.65583139889,-6007.16917648393,-59.5655301228662
S307,3467.36203955962,-2819.84920103294,-58.9093475222375
S308,3507.38726478664,-6790.5189997285,-261.798937614811
S309,3930.89472418548,-2631.92306550698,-282.636226185967
P401,4865.80980326637,-2641.45166430502,-116.904021532124
P402,5382.45097017394,-6092.65736866974,-168.100010015319
P403,6293.27982067354,-6434.26218679268,-145.911536138382
P404,-7710.90180291215,-200.060112954238,-129.375234273283
P405,-6540.27060674536,1095.12024392959,-152.646393551846
P406,-6256.10312582522,474.994066231482,-162.223036702954
P407,-4804.2150161941,1136.99674710054,-198.093827844757
P408,-4393.45196274698,1212.56486731806,-181.519008853405
P409,-3073.17945094872,1336.90604230601,-163.071159126638
P410,-2775.51087611007,1375.77459534313,-156.23715555701
P411,-1958.69782806539,3405.64388533465,-207.313625519848
P412,-1699.36973820528,3279.32443031642,-193.021860182041
P413,-1195.80262068613,2825.21976069048,-237.958447308506
N601,-37.0138455240897,-551.931930344232,-2.32509281528334
N602,-49.2864196474942,-547.231342462672,-2.31476892355164
N603,-58.1457442598797,-547.206602624051,-2.31884130537776
N604,-58.3714507962721,-591.284073116768,-2.32279452705154
N605,-48.3881294786468,-595.173265048495,-2.32307440423037
N606,-38.886699063088,-585.953001864338,-2.31715201461154
J501,-47.9953137114168,-564.8585950658,-2.3183025774199
J502,-55.9698552179093,-568.820456310596,-2.32172113089032
J503,-48.8448031375612,-574.435715140461,-2.32516812894789
J504,-35.8923957604335,-569.620675476709,-2.31864846438441
J505,-65.3184615704392,-560.701494329159,-2.32008784239008
J506,-63.0370280212652,-574.716596902372,-2.320317857075
J507,-36.945136100784,-560.00969009697,-2.31279963127216
J508,-49.2177137951092,-555.309112153407,-2.31446963076462
J509,-58.0769515396979,-555.294369399664,-2.31854275924715
J510,-58.4403256250101,-583.186297889586,-2.32204632150334
J511,-50.5465387252296,-587.383557037894,-2.31936581458618
J512,-40.6862906655615,-577.980051041702,-2.31843254792844
T701,-87.2086388442014,-542.148317783475,-2.31273817553401
T702,-81.6972711409949,-601.663010675978,-2.31702520212178
T703,-15.1846635865065,-595.091029544333,-2.6109014400983
T704,-15.1567049588832,-539.533390302809,-2.31593802492898
