    um                erg/s/Hz
    2.135994e-04      1.886284e-39
    2.147830e-04      1.963949e-39
    2.159733e-04      2.044811e-39
    2.171701e-04      2.129003e-39
    2.183735e-04      2.216662e-39
    2.195837e-04      2.307930e-39
    2.208005e-04      2.402955e-39
    2.220240e-04      2.501894e-39
    2.232544e-04      2.604905e-39
    2.244916e-04      2.712159e-39
    2.257356e-04      2.823828e-39
    2.269865e-04      2.940095e-39
    2.282443e-04      3.061149e-39
    2.295091e-04      3.187187e-39
    2.307810e-04      3.318415e-39
    2.320598e-04      3.455046e-39
    2.333458e-04      3.597302e-39
    2.346389e-04      3.745416e-39
    2.359391e-04      3.899628e-39
    2.372466e-04      4.060189e-39
    2.385613e-04      4.227361e-39
    2.398833e-04      4.401417e-39
    2.412126e-04      4.582638e-39
    2.425493e-04      4.771322e-39
    2.438934e-04      4.967774e-39
    2.452449e-04      5.172315e-39
    2.466039e-04      5.385277e-39
    2.479705e-04      5.607008e-39
    2.493446e-04      5.837868e-39
    2.507264e-04      6.078234e-39
    2.521158e-04      6.328496e-39
    2.535129e-04      6.589063e-39
    2.549177e-04      6.860358e-39
    2.563303e-04      7.142823e-39
    2.577508e-04      7.436918e-39
    2.591791e-04      7.743122e-39
    2.606154e-04      8.061934e-39
    2.620596e-04      8.393872e-39
    2.635118e-04      8.739478e-39
    2.649720e-04      9.099313e-39
    2.664404e-04      9.473964e-39
    2.679168e-04      9.864040e-39
    2.694015e-04      1.027018e-38
    2.708944e-04      1.069304e-38
    2.723955e-04      1.113331e-38
    2.739050e-04      1.159170e-38
    2.754229e-04      1.206898e-38
    2.769491e-04      1.256590e-38
    2.784838e-04      1.308328e-38
    2.800271e-04      1.362197e-38
    2.815788e-04      1.418283e-38
    2.831392e-04      1.476679e-38
    2.847082e-04      1.537479e-38
    2.862859e-04      1.600782e-38
    2.878724e-04      1.666692e-38
    2.894676e-04      1.735316e-38
    2.910717e-04      1.806765e-38
    2.926847e-04      1.881156e-38
    2.943066e-04      1.958609e-38
    2.959375e-04      2.039252e-38
    2.975774e-04      2.123215e-38
    2.992265e-04      2.210636e-38
    3.008846e-04      2.301655e-38
    3.025520e-04      2.396423e-38
    3.042286e-04      2.495092e-38
    3.059145e-04      2.597824e-38
    3.076097e-04      2.704785e-38
    3.093143e-04      2.816151e-38
    3.110284e-04      2.932101e-38
    3.127519e-04      3.052826e-38
    3.144850e-04      3.178522e-38
    3.162278e-04      3.309393e-38
    3.179801e-04      3.445652e-38
    3.197422e-04      3.587522e-38
    3.215141e-04      3.735233e-38
    3.232958e-04      3.889026e-38
    3.250873e-04      4.049151e-38
    3.268888e-04      4.215868e-38
    3.287002e-04      4.389451e-38
    3.305217e-04      4.570180e-38
    3.323533e-04      4.758350e-38
    3.341950e-04      4.954268e-38
    3.360470e-04      5.158253e-38
    3.379092e-04      5.370637e-38
    3.397817e-04      5.591765e-38
    3.416646e-04      5.821997e-38
    3.435579e-04      6.061709e-38
    3.454618e-04      6.311291e-38
    3.473762e-04      6.571150e-38
    3.493011e-04      6.841707e-38
    3.512368e-04      7.123404e-38
    3.531832e-04      7.416700e-38
    3.551403e-04      7.722071e-38
    3.571083e-04      8.040016e-38
    3.590873e-04      8.371052e-38
    3.610771e-04      8.715718e-38
    3.630781e-04      9.074575e-38
    3.650901e-04      9.448207e-38
    3.671132e-04      9.837223e-38
    3.691476e-04      1.024226e-37
    3.711932e-04      1.066397e-37
    3.732502e-04      1.110304e-37
    3.753185e-04      1.156019e-37
    3.773984e-04      1.203616e-37
    3.794897e-04      1.253174e-37
    3.815926e-04      1.304771e-37
    3.837072e-04      1.358493e-37
    3.858336e-04      1.414427e-37
    3.879717e-04      1.472664e-37
    3.901216e-04      1.533299e-37
    3.922835e-04      1.596430e-37
    3.944573e-04      1.662161e-37
    3.966432e-04      1.730598e-37
    3.988412e-04      1.801853e-37
