science_keyword,band_list
Supernovae (SN) ejecta,4
"Active Galactic Nuclei (AGN)/Quasars (QSO), Merging and interacting galaxies",6
"Starbursts, star formation",7
"Starbursts, star formation, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",6
"Merging and interacting galaxies, Giant Molecular Clouds (GMC) properties",6
Lyman Break Galaxies (LBG),4
"Astrochemistry, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",4
"Lyman Alpha Emitters/Blobs (LAE/LAB), Lyman Break Galaxies (LBG)",7
"Outflows, jets and ionized winds",8
"Supernovae (SN) ejecta, Transients",7
Sub-mm Galaxies (SMG),9
"Outflows, jets, feedback, Early-type galaxies",7
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Inter-Stellar Medium (ISM)/Molecular clouds",7
Gravitational lenses,6
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",3
"Starbursts, star formation, Outflows, jets, feedback",4
"Inter-Stellar Medium (ISM)/Molecular clouds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",8
"Intermediate-mass star formation, Astrochemistry",4
"Sub-mm Galaxies (SMG), Galaxy structure & evolution",8
"Inter-Stellar Medium (ISM)/Molecular clouds, HII regions",5
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",4
HII regions,3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Surveys of galaxies",4
"High-z Active Galactic Nuclei (AGN), Galaxy structure & evolution",9
"Inter-Stellar Medium (ISM)/Molecular clouds, Magellanic Clouds",10
High-mass star formation,8
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",5
Luminous Blue Variables (LBV),7
"Pulsars and neutron stars, Transients",6
Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR),3
"High-z Active Galactic Nuclei (AGN), Galaxy Clusters",6
"Lyman Break Galaxies (LBG), Galaxy structure & evolution",7
"Starbursts, star formation, Galaxy groups and clusters",3
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
"Damped Lyman Alpha (DLA) systems, Gamma Ray Bursts (GRB)",3
"Sub-mm Galaxies (SMG), Galaxy structure & evolution",9
"Debris disks, Solar system - Comets",3
"Merging and interacting galaxies, Early-type galaxies",6
Solar system - Planetary atmospheres,8
Sub-mm Galaxies (SMG),10
Intermediate-mass star formation,8
"Inter-Stellar Medium (ISM)/Molecular clouds, Magellanic Clouds",8
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",9
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",8
"Merging and interacting galaxies, Giant Molecular Clouds (GMC) properties",7
"Galaxy structure & evolution, Galaxy Clusters",6
Brown dwarfs,6
"Exo-planets, Solar system - Comets",4
Solar system - Comets,3
"Post-AGB stars, Evolved stars - Chemistry",7
"Outflows, jets and ionized winds",4
"Starburst galaxies, Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE)",3
Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG),8
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",9
"Outflows, jets, feedback, Early-type galaxies",6
"Starbursts, star formation, Galaxy groups and clusters",6
Giant Molecular Clouds (GMC) properties,8
"Cataclysmic stars, Transients",7
"Disks around low-mass stars, Solar system - Comets",9
Black holes,7
"Starburst galaxies, Gamma Ray Bursts (GRB)",6
"Starburst galaxies, Gamma Ray Bursts (GRB)",4
"Sub-mm Galaxies (SMG), Gamma Ray Bursts (GRB)",7
Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR),6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Surveys of galaxies",5
Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE),4
"Lyman Alpha Emitters/Blobs (LAE/LAB), Galaxy structure & evolution",8
"Disks around low-mass stars, Debris disks",7
"Disks around low-mass stars, Debris disks",6
"Sub-mm Galaxies (SMG), Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
"Gravitational lenses, Galaxy structure & evolution",9
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",8
Evolved stars - Shaping/physical structure,8
"Gravitational lenses, Galaxy Clusters",3
