ALMA_source_name,Band
J0956+2515,7
Ceres,6
Ceres,6
Titan,3
2MASS_J15354856-2958551,7
Titan,7
GSC_6214-210,7
Neptune,7
SSA22J22_17_20.22+00_16_52.3,7
J1924-2914,7
J0339-0146,3
J0423-0120,6
ngc_3110,3
J0522-364,7
Q09498+0155,3
Titan,6
Neptune,3
J1751+0939,6
J0121+1149,3
Uranus,3
J1744-3116,3
J0423-0120,3
Uranus,3
J1310+3220,6
hd_163296,6
J1744-312,3
SGP38326,3
J0026-3512,3
SGP38326,3
SGP38326,3
Uranus,3
Uranus,3
J0238+1636,3
J1733-1304,6
J1308-6707,3
J2357-5311,3
J0120-2701,3
Uranus,3
J0116-2052,3
J1744-312,3
J1617-5848,3
J1700-2610,3
J1733-130,3
J1700-2610,3
J1733-130,3
J0116-2052,3
J1550+054,3
Uranus,3
3C_446,9
J0607-0834,9
midz_cell7_301426,7
J1058+0133,6
Titan,6
Titan,7
Titan,7
J1924-292,7
J0137-2430,6
0-12043,7
J1427-4206,7
G322.1632+0.6221,7
ACTJ0245_s6,7
ngc1667,6
J1550+0527,6
J1516+1932,6
Arp220,6
J1516+1932,7
J1516+1932,7
J1733-130,6
J0541-0541,6
J1058-8003,6
J2258-279,6
J1534-3526,6
J1733-1304,6
J1505+0326,7
J1832-2039,7
J1008+0621,7
Ceres,9
Ceres,9
J0102-7546,6
J0334-4008,6
J2357-5311,6
J0238+166,7
J0334-4008,6
PKS1830-211,7
J2357-5311,6
G332.9630-0.6781,7
J1733-1304,7
J1636-4102,7
J1037-2934,6
J1215-1731,3
J0607-0834,6
J0750+125,7
Ganymede,6
SDP17,6
J0102-7546,6
J0510+1800,6
Ceres,6
J1516+1932,6
Ceres,6
J1534-3526,7
PKS1830-211,3
J1744-3116,3
J0038-2459,3
J2258-2758,6
J0132-1654,6
Pallas,6
J1008+0621,3
J1625-2527,6
J1733-1304,6
J1744-3116,6
J1037-2934,6
ngc_253,6
J0334-4008,3
SXDS-49523,6
Titan,6
Uranus,3
B1730-130,3
J1617-5848,6
Neptune,9
mwc_480,6
J1733-1304,6
Arp220_B9_1,9
J1733-1304,9
NGC7130,9
J2056-472,9
midz_cell2_129795,7
lowz_cell3_87131,7
lowz_cell7_255368,7
lowz_cell6_333500,7
J1625-2527,7
sr21,7
J1744-3116,6
J1733-1304,3
J1733-1304,6
J0238+166,7
J0635-7516,6
J0730-1141,7
AzTEC-1,7
J0635-7516,7
J0541-0541,7
J1427-4206,7
J1733-1304,6
J2258-279,6
KMOS3D_U3_2960,3
J0217+0144,3
J1613-586,6
IRAS04368+2557,6
Neptune,3
Neptune,3
J1625-2527,6
J1744-3116,3
J2253+1608,3
J0241-0815,3
Titan,3
J1625-2527,6
J1625-2527,6
J2148+0657,7
J0340-2119,7
J0510+1800,7
2A0335+096,7
J1550+0527,3
J1924-292,7
J0334-4008,7
J0522-3627,9
SXDF-NB209-5,7
UGCA116,7
J1625-2527,6
J2056-4714,3
m33-53,3
J0510+180,3
CosDeep400528,3
J1337-1257,3
J1617-5848,6
J1625-2527,6
J1625-2527,6
J0607-0834,3
J0510+180,7
Titan,6
J2101-2933,6
J1751+096,6
J2101-2933,6
J1229+0203,6
sn1987a,6
J0510+180,3
NGC4418_B6_01,6
J1319+0950,6
J0423-013,7
J2148+069,7
J0730-1141,7
J0522-3627,3
J0006-0623,3
DCL88-69,3
J0348-2749,3
J0334-4008,3
J2357-5311,3
Neptune,3
J2357-5311,3
