    um                erg/s/Hz  
    1.112756e-04      3.639371e-22
    1.118922e-04      3.659743e-22
    1.125123e-04      3.680229e-22
    1.131358e-04      3.700829e-22
    1.137627e-04      3.721545e-22
    1.143931e-04      3.742377e-22
    1.150271e-04      3.763325e-22
    1.156645e-04      3.784390e-22
    1.163054e-04      3.805573e-22
    1.169499e-04      3.826875e-22
    1.175980e-04      3.848296e-22
    1.182497e-04      3.869836e-22
    1.189050e-04      3.891497e-22
    1.195639e-04      3.913279e-22
    1.202264e-04      3.935183e-22
    1.208927e-04      3.957209e-22
    1.215626e-04      3.979359e-22
    1.222362e-04      4.001632e-22
    1.229136e-04      4.024030e-22
    1.235947e-04      4.046553e-22
    1.242796e-04      4.069202e-22
    1.249683e-04      4.091977e-22
    1.256609e-04      4.114880e-22
    1.263572e-04      4.137910e-22
    1.270574e-04      4.161070e-22
    1.277615e-04      4.184358e-22
    1.284695e-04      4.207777e-22
    1.291814e-04      4.231327e-22
    1.298973e-04      4.255008e-22
    1.306171e-04      4.278822e-22
    1.313409e-04      4.302769e-22
    1.320687e-04      4.326849e-22
    1.328006e-04      4.351064e-22
    1.335365e-04      4.375414e-22
    1.342765e-04      4.399900e-22
    1.350206e-04      4.424523e-22
    1.357688e-04      4.449284e-22
    1.365212e-04      4.474182e-22
    1.372777e-04      4.499220e-22
    1.380384e-04      4.524398e-22
    1.388034e-04      4.549716e-22
    1.395725e-04      4.575175e-22
    1.403460e-04      4.600777e-22
    1.411237e-04      4.626521e-22
    1.419058e-04      4.652409e-22
    1.426921e-04      4.678442e-22
    1.434829e-04      4.704620e-22
    1.442780e-04      4.730944e-22
    1.450775e-04      4.757414e-22
    1.458814e-04      4.784033e-22
    1.466898e-04      4.810800e-22
    1.475027e-04      4.837716e-22
    1.483201e-04      4.864783e-22
    1.491420e-04      4.892001e-22
    1.499685e-04      4.919370e-22
    1.507995e-04      4.946892e-22
    1.516352e-04      4.974567e-22
    1.524755e-04      5.002397e-22
    1.533204e-04      5.030382e-22
    1.541700e-04      5.058523e-22
    1.550244e-04      5.086821e-22
    1.558834e-04      5.115277e-22
    1.567473e-04      5.143891e-22
    1.576159e-04      5.172665e-22
    1.584893e-04      5.201599e-22
    1.593676e-04      5.230695e-22
    1.602507e-04      5.259953e-22
    1.611388e-04      5.289373e-22
    1.620317e-04      5.318958e-22
    1.629296e-04      5.348707e-22
    1.638325e-04      5.378622e-22
    1.647404e-04      5.408704e-22
    1.656533e-04      5.438953e-22
    1.665712e-04      5.469371e-22
    1.674943e-04      5.499958e-22
    1.684225e-04      5.530716e-22
    1.693558e-04      5.561645e-22
    1.702943e-04      5.592746e-22
    1.712379e-04      5.624020e-22
    1.721869e-04      5.655468e-22
    1.731410e-04      5.687091e-22
    1.741005e-04      5.718890e-22
    1.750653e-04      5.750867e-22
    1.760354e-04      5.783021e-22
    1.770109e-04      5.815354e-22
    1.779918e-04      5.847867e-22
    1.789781e-04      5.880561e-22
    1.799700e-04      5.913436e-22
    1.809673e-04      5.946495e-22
    1.819701e-04      5.979737e-22
    1.829785e-04      6.013165e-22
    1.839924e-04      6.046778e-22
    1.850120e-04      6.080578e-22
    1.860373e-04      6.114566e-22
    1.870682e-04      6.148743e-22
    1.881049e-04      6.183110e-22
    1.891472e-04      6.217667e-22
    1.901954e-04      6.252417e-22
    1.912494e-04      6.287360e-22
    1.923092e-04      6.322497e-22
    1.933749e-04      6.357829e-22
    1.944464e-04      6.393358e-22
    1.955240e-04      6.429084e-22
    1.966075e-04      6.465008e-22
    1.976970e-04      6.501132e-22
    1.987925e-04      6.537456e-22
    1.998941e-04      6.573982e-22
    2.010018e-04      6.610711e-22
    2.021157e-04      6.647644e-22
    2.032357e-04      6.684781e-22
    2.043619e-04      6.722125e-22
    2.054944e-04      6.759676e-22
    2.066332e-04      6.797435e-22
    2.077782e-04      6.835404e-22
    2.089296e-04      6.873583e-22
    2.100874e-04      6.911974e-22
    2.112516e-04      6.950578e-22
    2.124222e-04      6.989396e-22
    2.135994e-04      7.028429e-22
    2.147830e-04      7.067679e-22
    2.159733e-04      7.107146e-22
    2.171701e-04      7.146832e-22
    2.183735e-04      7.186737e-22
    2.195837e-04      7.226864e-22
    2.208005e-04      7.267213e-22
    2.220240e-04      7.307786e-22
    2.232544e-04      7.348584e-22
    2.244916e-04      7.389607e-22
    2.257356e-04      7.430857e-22
    2.269865e-04      7.472336e-22
    2.282443e-04      7.514045e-22
    2.295091e-04      7.555984e-22
    2.307810e-04      7.598156e-22
    2.320598e-04      7.640560e-22
    2.333458e-04      7.683200e-22
    2.346389e-04      7.726075e-22
    2.359391e-04      7.769188e-22
    2.372466e-04      7.812539e-22
    2.385613e-04      7.856129e-22
    2.398833e-04      7.899961e-22
    2.412126e-04      7.944035e-22
    2.425493e-04      7.988353e-22
    2.438934e-04      8.032915e-22
    2.452449e-04      8.077724e-22
    2.466039e-04      8.122780e-22
    2.479705e-04      8.168086e-22
    2.493446e-04      8.213641e-22
    2.507264e-04      8.259448e-22
    2.521158e-04      8.305509e-22
    2.535129e-04      8.351823e-22
    2.549177e-04      8.398393e-22
    2.563303e-04      8.445220e-22
    2.577508e-04      8.492306e-22
    2.591791e-04      8.539651e-22
    2.606154e-04      8.587258e-22
    2.620596e-04      8.635127e-22
    2.635118e-04      8.683261e-22
    2.649720e-04      8.731659e-22
    2.664404e-04      8.780325e-22
    2.679168e-04      8.829259e-22
    2.694015e-04      8.878463e-22
    2.708944e-04      8.927937e-22
    2.723955e-04      8.977685e-22
    2.739050e-04      9.027706e-22
    2.754229e-04      9.078003e-22
    2.769491e-04      9.128578e-22
    2.784838e-04      9.179430e-22
    2.800271e-04      9.230563e-22
    2.815788e-04      9.281977e-22
    2.831392e-04      9.333674e-22
    2.847082e-04      9.385656e-22
    2.862859e-04      9.437923e-22
    2.878724e-04      9.490479e-22
    2.894676e-04      9.543323e-22
    2.910717e-04      9.596458e-22
    2.926847e-04      9.649885e-22
    2.943066e-04      9.703606e-22
    2.959375e-04      9.757622e-22
    2.975774e-04      9.811935e-22
    2.992265e-04      9.866546e-22
    3.008846e-04      9.921458e-22
    3.025520e-04      9.976671e-22
    3.042286e-04      1.003219e-21
    3.059145e-04      1.008801e-21
    3.076097e-04      1.014414e-21
    3.093143e-04      1.020057e-21
    3.110284e-04      1.025732e-21
    3.127519e-04      1.031437e-21
    3.144850e-04      1.037174e-21
    3.162278e-04      1.042943e-21
    3.179801e-04      1.048743e-21
    3.197422e-04      1.054575e-21
    3.215141e-04      1.060439e-21
    3.232958e-04      1.066335e-21
    3.250873e-04      1.072263e-21
    3.268888e-04      1.078224e-21
    3.287002e-04      1.084217e-21
    3.305217e-04      1.090244e-21
    3.323533e-04      1.096303e-21
    3.341950e-04      1.102396e-21
    3.360470e-04      1.108521e-21
    3.379092e-04      1.114681e-21
    3.397817e-04      1.120874e-21
    3.416646e-04      1.127101e-21
    3.435579e-04      1.133362e-21
    3.454618e-04      1.139657e-21
